iter	Logloss
242	0.6193784116
243	0.6193582007
244	0.61934125
245	0.6193215972
246	0.6192891067
247	0.6192765071
248	0.6192329588
249	0.6192130545
250	0.6192076513
251	0.6192012993
252	0.6191947232
253	0.6191782412
254	0.6191739484
255	0.6191519128
256	0.6191052675
257	0.6190442817
258	0.6190294704
259	0.6190050759
260	0.6189820827
261	0.6189533803
262	0.6189085421
263	0.6188988955
264	0.618879817
265	0.6188464189
266	0.6188217861
267	0.6188038528
268	0.6187854146
269	0.6187725733
270	0.6187427755
271	0.6187136983
272	0.618685191
273	0.6186735807
274	0.6186585951
275	0.6186492201
276	0.6186367328
277	0.6186276668
278	0.6186132016
279	0.6186003208
280	0.6185854693
281	0.6185700459
282	0.618559551
283	0.6185467576
284	0.618527051
285	0.618518552
286	0.6184786075
287	0.6184622507
288	0.6184463032
289	0.6184268459
290	0.6183863772
291	0.6183538421
292	0.6183451212
293	0.618324768
294	0.6183097395
295	0.6182859654
296	0.6182723267
297	0.6182633497
298	0.6182379547
299	0.6182211334
300	0.6181932267
301	0.6181857976
302	0.6181801608
303	0.618165185
304	0.6181528693
305	0.6181379066
306	0.6181138645
307	0.6180846429
308	0.6180692197
309	0.6180521306
310	0.6180321192
311	0.6180167849
312	0.6180109047
313	0.6179915664
314	0.6179683627
315	0.6179490213
316	0.617935608
317	0.6179079419
318	0.6178993948
319	0.6178544999
320	0.6178470928
321	0.6178236904
322	0.6178149237
323	0.6177805236
324	0.6177559956
325	0.6177420268
326	0.6177053489
327	0.6176975698
328	0.6176819116
329	0.6176628994
330	0.6176486592
331	0.6176283457
332	0.6176141556
333	0.6176067659
334	0.61760114
335	0.6175890623
336	0.6175847397
337	0.6175825549
338	0.6175552656
339	0.6175396127
340	0.6175332891
341	0.6175252388
342	0.6175203407
343	0.617500919
344	0.6174803693
345	0.6174648512
346	0.6174575328
347	0.6174429987
348	0.6174250646
349	0.6174165628
350	0.6174085008
351	0.6173881313
352	0.6173708364
353	0.6173603967
354	0.6173413814
355	0.617310801
356	0.6172933009
357	0.6172611349
358	0.6172400658
359	0.6172264787
360	0.6172093129
361	0.6171916988
362	0.6171717433
363	0.6171484925
364	0.6171337151
365	0.6171201459
366	0.6171098615
367	0.6170955086
368	0.6170871063
369	0.6170793056
370	0.6170716567
371	0.6170622047
372	0.6170426465
373	0.6170365494
374	0.6170208112
375	0.617002931
376	0.6169877841
377	0.6169776322
378	0.6169604442
379	0.6169446725
380	0.6169384889
381	0.616910865
382	0.6168838966
383	0.6168730218
384	0.6168667092
385	0.6168418783
386	0.6168292502
387	0.6168161492
388	0.616760834
389	0.6167430001
390	0.6167233739
391	0.616716132
392	0.6166867602
393	0.6166502409
394	0.6166382074
395	0.6166323082
396	0.6166212885
397	0.6166069441
398	0.6165889985
399	0.6165611564
400	0.6165376816
401	0.6165259886
402	0.6165026788
403	0.6164899321
404	0.6164744938
405	0.6164612218
406	0.6164528932
407	0.6164514953
408	0.6164326286
409	0.6164160192
410	0.6164105195
411	0.6163821853
412	0.6163642038
413	0.6163581559
414	0.6163418596
415	0.616322347
416	0.6163089575
417	0.6162955427
418	0.6162345146
419	0.6162239593
420	0.6161794267
421	0.6161724545
422	0.6161585491
423	0.6161484644
424	0.6161303415
425	0.6160666642
426	0.6160458645
427	0.6160408143
428	0.6160251793
429	0.6160182475
430	0.6160146174
431	0.616008223
432	0.6159907789
433	0.6159375039
434	0.6159200364
435	0.6159068917
436	0.6159004386
437	0.6158767214
438	0.6158666213
439	0.6158415322
440	0.6158218873
441	0.6158049236
442	0.6157883976
443	0.615772696
444	0.6157597471
445	0.6157448972
446	0.6156887034
447	0.6156839784
448	0.6156728586
449	0.6156674806
450	0.6156624792
451	0.6156406142
452	0.6156259097
453	0.6156086515
454	0.6156054946
455	0.615589603
456	0.6155806187
457	0.6155641927
458	0.6155541354
459	0.615549083
460	0.6155420945
461	0.615534851
462	0.6155211077
463	0.6155159269
464	0.6155071645
465	0.6154932673
466	0.6154894434
467	0.6154820724
468	0.6154661578
469	0.6154346441
470	0.6154193908
471	0.6154083503
472	0.615391671
473	0.6153650976
474	0.6153469409
475	0.6153359446
476	0.6153317879
477	0.6153120238
478	0.6152905449
479	0.6152708143
480	0.6152553704
481	0.6152292192
482	0.6152195917
483	0.6152096076
484	0.6152027245
485	0.6151871961
486	0.6151806363
487	0.615173924
488	0.6151709172
489	0.6151521529
490	0.6151459254
491	0.615130934
492	0.6151182782
493	0.6151051477
494	0.6150921581
495	0.6150740981
496	0.6150451634
497	0.615037343
498	0.6150247473
499	0.6150114174
